Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,Month Number,Report Month
CA001,25-Jul-18,"4,827.25",0.00,,,470.60,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA001@fiestainsurance.com,7
CA002,25-Jul-18,"3,066.88",0.00,,,518.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA002@fiestainsurance.com,7
CA003,25-Jul-18,"1,469.61",0.00,,,303.38,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA003@fiestainsurance.com,7
CA004,25-Jul-18,"3,234.89",0.00,,,200.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA004@fiestainsurance.com,7
CA005,25-Jul-18,512.08,0.00,,,383.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA005@fiestainsurance.com,7
CA006,25-Jul-18,"4,485.62",0.00,,,"1,601.00",0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA006@fiestainsurance.com,7
CA007,25-Jul-18,"1,412.38",0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca007@fiestainsurance.com,fiestaca015@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA007@fiestainsurance.com,7
CA008,25-Jul-18,734.38,0.00,,,315.61,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA008@fiestainsurance.com,7
CA009,25-Jul-18,"1,812.92",0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA009@fiestainsurance.com,7
CA010,25-Jul-18,944.98,0.00,,,320.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA010@fiestainsurance.com,7
